Zip Code,Municipality,State,Est. Mean Vaccination Rate,Measles Risk Level,Measles Cases per State
15301,Washington,PA,75.94,Medium Risk (70–79%),16
15658,Ligonier,PA,73.14,Medium Risk (70–79%),16
15601,Greensburg,PA,75.66,Medium Risk (70–79%),16
30114,Canton,GA,75.27,Medium Risk (70–79%),10
30281,Stockbridge,GA,76.01,Medium Risk (70–79%),10
31044,Jeffersonville,GA,67.74,High Risk (60–69%),10
31419,Savannah,GA,62.91,High Risk (60–69%),10
30137,Emerson,GA,68.71,High Risk (60–69%),10
30184,White,GA,69.29,High Risk (60–69%),10
31519,Broxton,GA,63.51,High Risk (60–69%),10
30427,Glennville,GA,64.45,High Risk (60–69%),10
30824,Thomson,GA,65.77,High Risk (60–69%),10
89421,Mc Dermitt,NV,74.83,Medium Risk (70–79%),2
48225,Harper Woods,MI,77.66,Medium Risk (70–79%),29
08072,NA,NA,67.9,High Risk (60–69%),15
07821,Andover,NJ,69.82,High Risk (60–69%),11
08820,Edison,NJ,72.27,Medium Risk (70–79%),11
63556,Milan,MO,65.87,High Risk (60–69%),6
63456,Monroe City,MO,68.6,High Risk (60–69%),6
98563,Montesano,WA,76.35,Medium Risk (70–79%),11
64083,Raymore,MO,85.12,Lowest Risk (85%+),6
65667,Hartville,MO,69.95,High Risk (60–69%),6
65041,Hermann,MO,73.15,Medium Risk (70–79%),6
59010,Bighorn,MT,80.4,Low Risk (80–84%),36
59432,Dupuyer,MT,68.21,High Risk (60–69%),36
37705,Andersonville,TN,72.69,Medium Risk (70–79%),8
38464,Lawrenceburg,TN,76.25,Medium Risk (70–79%),8
37327,Dunlap,TN,71.22,Medium Risk (70–79%),8
37064,Franklin,TN,78.26,Medium Risk (70–79%),8
38501,Cookeville,TN,70.91,Medium Risk (70–79%),8
37385,Tellico Plains,TN,74.17,Medium Risk (70–79%),8
37185,Waverly,TN,78.36,Medium Risk (70–79%),8
37847,Pioneer,TN,84.63,Low Risk (80–84%),8
37032,Cedar Hill,TN,70.01,Medium Risk (70–79%),8
28560,New Bern,NC,70.06,Medium Risk (70–79%),2
62663,NA,NA,75.77,Medium Risk (70–79%),15
60091,Wilmette,IL,80.62,Low Risk (80–84%),14
40014,Crestwood,KY,76.72,Medium Risk (70–79%),13
41701,Fisty,KY,77.8,Medium Risk (70–79%),13
41701,Dice,KY,77.8,Medium Risk (70–79%),13
41701,Hazard,KY,77.8,Medium Risk (70–79%),13
40828,Evarts,KY,76.06,Medium Risk (70–79%),13
40330,Harrodsburg,KY,74.97,Medium Risk (70–79%),13
41041,Flemingsburg,KY,73.69,Medium Risk (70–79%),13
42256,Lewisburg,KY,74.17,Medium Risk (70–79%),13
41314,Booneville,KY,84.13,Low Risk (80–84%),13
42160,Park City,KY,69.92,High Risk (60–69%),13
42323,Beechmont,KY,81.88,Low Risk (80–84%),13
53516,Blanchardville,WI,75.98,Medium Risk (70–79%),36
54868,Rice Lake,WI,75.74,Medium Risk (70–79%),36
54806,Ashland,WI,66.94,High Risk (60–69%),36
54634,Hillsboro,WI,67.99,High Risk (60–69%),36
53934,Friendship,WI,61.78,High Risk (60–69%),36
44615,Carrollton,OH,69.32,High Risk (60–69%),40
45205,Cincinnati,OH,56.05,Very High Risk (<60%),40
50477,Swaledale,IA,25.78,Very High Risk (<60%),9
50478,Thompson,IA,60.8,High Risk (60–69%),9
55923,Chatfield,MN,79.31,Medium Risk (70–79%),26
